"rank","rule","n_conditions","n_entities","effective_n_entities","support","divergence","baseline_effect_size","anomaly_distribution_divergence","base_quality","trajectory_quality","label_quality","precision","recall","lift","n_interesting_entities","subgroup_iqr","complement_iqr","concentration_ratio","median_shift","distribution_location","subgroup_trend_start","subgroup_trend_end","subgroup_trend_change","baseline_trend_start","baseline_trend_end","baseline_trend_change","trend_change_difference","trajectory_peak_gap","trajectory_peak_gap_index","subgroup_trend_direction","relative_trend_direction","quality","complexity","pareto_optimal","covering_fallback","source_tree","source_leaf"
"1","18-month change in capital income share > 0.001489 AND 2-month mean transfer share <= 0.003101 AND 6-month volatility wage share > 0.1883","3","147","147.0","0.01592632719393283","89647.62365717515","0.5704479775197053","14642.608842010646","31846.9385853381","","","0.3129251700680272","0.04983748645720477","3.129251700680272","46","21717.17526166848","6662.152018374866","0.31760804445411417","9581.973875752978","upper shifted","-21657.261564625853","63743.89489795919","85401.15646258504","-8384.798706933909","15062.397067713982","23447.19577464789","61953.96068793716","48681.49783024521","24","increasing","stronger increase than baseline","17947.891576332804","3","True","False","0","14"
"2","4-month change in capital income share > -0.3866 AND 6-month mean transfer share <= 0.002177 AND 6-month volatility wage share <= 0.3172","3","1505","1465.1","0.1630552546045504","45949.94824860438","0.35872606338877033","14337.244277122765","29114.322773006497","","","0.30564784053156147","0.49837486457204766","3.0564784053156147","460","21108.706774041173","4157.001741105092","0.20943579553428765","9233.205088754059","upper shifted","-19599.412734219266","34524.48826245848","54123.900996677745","-8384.798706933909","15062.397067713982","23447.19577464789","30676.705222029854","19462.0911947445","24","increasing","stronger increase than baseline","13323.924031587623","3","True","False","1","5"
"3","14-month change in transfer share <= -0.3815 AND 18-month lag transfer share > 0.0007266 AND 2-month mean transfer share > 0.003101","3","106","106.0","0.011484290357529793","26339.110913478176","0.17340982276086075","5656.640812452415","9022.48104571423","","","0.1509433962264151","0.01733477789815818","1.5094339622641508","16","6434.461969577467","4242.721161473458","0.6702847615364443","411.6646960780063","shape/dispersion shifted","-10454.976792452828","27824.391132075474","38279.3679245283","-8384.798706933909","15062.397067713982","23447.19577464789","14832.172149880407","12761.994064361492","24","increasing","stronger increase than baseline","7386.788279571879","3","True","False","0","9"
